scientific name,common name,feeding guild,size guild,adv group,note
Agonus cataphractus,hooknose,demersal benthivore,medium demersal,demersal,
Alosa alosa,allis shad,pelagic planktivore,small pelagic,pelagic,
Ammodytes spp,sandeels,pelagic planktivore,small pelagic,pelagic,*
Ammodytes tobianus,sandeel,pelagic planktivore,small pelagic,pelagic,
Anarhichas lupus,Atlantic wolffish,demersal omnivore,large demersal,demersal,**
Anarhichas minor,spotted catfish,demersal benthivore,large demersal,demersal,
Anarhichas spp,wolffishes,demersal benthivore,large demersal,demersal,*
Anguilla anguilla,european eel,demersal benthivore,medium demersal**,demersal,
Aphanopus carbo,Black scabbardfish,pelagic piscivore,large bathypelagic,pelagics,**
Argentina silus,greater argentine,pelagic planktivore,medium bathydemersal,pelagic,
Argentina sphyraena,argentine,pelagic planktivore,medium bathypelagic,pelagic,
Argyrosomus regius,meagre,demersal piscivore,large benthopelagic,demersal,**
Arnoglossus laterna,scaldfish,demersal benthivore,small demersal,demersal,
Aspitrigla cuculus,red gurnard,demersal benthivore,medium demersal,demersal,**
Balistes capriscus,grey triggerfish,demersal benthivore,medium demersal,demersal,**
Balistes carolinensis,grey triggerfish,demersal benthivore,medium demersal,demersal,**
Belone belone,garfish,pelagic piscivore,medium pelagic,pelagic,**
Beryx spp.,Alfonsinos,pelagic piscivore,medium benthopelagic,pelagics,**
Beryx spp.,Golden eye perch,pelagic piscivore,medium benthopelagic,pelagics,**
Brosme brosme,torsk,demersal piscivore,large demersal,demersal,
Buccinum undatum,whelk,bivalve,bivalve,Shellfish,**
Buglossidium luteum,solenette,demersal benthivore,small demersal,demersal,
Callionymidae,dragonet,demersal benthivore,small demersal,demersal,
Cancer pagurus,edible crab,crustacean,crustacean,shellfish,**
Capros aper,Boarfish,demersal benthivore,medium demersal,demersal,**
Centroscymnus coelolepis,Portuguese dogfishbathydemersal piscivore,Large sharks,elasmobranchs,**
Cetorhinus maximus,pelagic planktivore,Large sharks,elasmobranchs,**
Chelidonichthys cuculus,red gurnard,demersal benthivore,medium demersal,demersal,**
Chelidonichthys lucerna,tub gurnard,demersal benthivore,medium demersal,demersal,**
Chelon labrosus,thicklip grey mullet,demersal benthivore,medium demersal,demersal,**
Chimaera monstrosa,rat fish,demersal piscivore,large bathydemersal,demersal,
Ciliata septentrionalis,northern rockling,demersal piscivore,medium demersal,demersal,
Clupea harengus,herring,pelagic planktivore,medium pelagic,pelagic,
Conger conger,european conger,demersal benthivore,large demersal,demersal,**
Coryphaenoides rupestris,Roundnose grenadier,pelagic crustaceavore,large bathypelagic,elasmobranchs,**
Crangon crangon,common shrimp,crustacean,shrimp,shellfish,**
Cyclopterus lumpus,lumpsucker,demersal benthivore,medium demersal,demersal,
Dicentrarchus labrax,european seabass,demersal piscivore,large demersal,demersal,**
Dicologlossa cuneata,wedge sole,demersal benthivore,small-medium flatfish,demersal,**
Diplodus sargus,white seabream,demersal benthivore,medium demersal,demersal,**
Diplodus vulgaris,common two-banded seabream,benthopelagic benthivore,medium benthopelagic,pelagic,
Echiichthys vipera,lesser weever,demersal benthivore,small demersal,demersal,
Enchelyopus cimbrius,four-bearded rockling,demersal piscivore,medium demersal,demersal,
Engraulis encrasicolus,european anchovy,pelagic planktivore,small pelagic,pelagic,**
Esox lucius,northern pike,demersal piscivore,large demersal,demersal,**
Etmopterus spinax,velvet belly,demersal piscivore,medium bathydemersal,demersal,
Eutrigla gurnardus,grey gurnard,demersal piscivore,medium demersal,demersal,
Gadiculus argenteus,silvery pout,pelagic planktivore,small pelagic,pelagic,
Gadus morhua,cod,demersal piscivore,large benthopelagic,demersal,
Gaidropsarus vulgaris,three-bearded rockling,demersal piscivore,medium demersal,demersal,
Galeorhinus galeus,tope,demersal piscivore,large benthopelagic,demersal,
Galeus melastomus,black-mouthed dogfish,demersal piscivore,medium demersal,demersal,
Glyptocephalus cynoglossus,witch,demersal benthivore,medium demersal,demersal,
Gobiidae,gobies,demersal benthivore,small demersal,demersal,
Helicolenus dactylopterus,blackbelly rosefish,bathydemersal omnivore,medium demersal,demersal,**
Hippoglossides platessoides,long rough dab,demersal benthivore,medium demersal,demersal,
Hippoglossoides platessoides,long rough dab,demersal benthivore,medium demersal,demersal,*
Hippoglossus hippoglossus,halibut,demersal benthivore,large demersal,demersal,
Homarus gammarus,european lobster,crustacean,crustacean,shellfish,**
Isurus oxyrinchus,shortfin mako,pelagic piscivore,large sharks,pelagic,**
Labrus bergylta,ballan wrasse,demersal benthivore,medium reef fish,demersal,**
Lamna nasus,porbeagle,pelagic piscivore,large pelagic,pelagic,**
Lepidorhombus spp,megrims,demersal piscivore,medium bathydemersal,demersal,*
Lepidorhombus whiffiagonis,megrim,demersal piscivore,medium demersal,demersal,
Leucoraja circularis,Sandy ray,demersal omnivore,Large rays,elasmobranchs
Leucoraja fullonica,Shagreen ray,demersal omnivore,Large rays,elasmobranchs,**
Leucoraja naevus,demersal omnivore,Medium rays,elasmobranchs,**
Limanda limanda,dab,demersal benthivore,medium demersal,demersal,
Liparis liparis,sea-snail,demersal benthivore,small demersal,demersal,
Loliginidae,pencil squid,cephalopods,cephalopods,cephalopods,
Loliginidae,pencil squid,cephalopods,cephalopods,cephalopods,
Loligo spp,loligo squids,cephalopods,cephalopods,cephalopods,**
Lophiidae,anglerfishes,demersal piscivore,large demersal,demersal,**
Lophius piscatorius,angler,demersal piscivore,large bathydemersal,demersal,
Lophius spp,monkfishes,demersal piscivore,large demersal,demersal,**
Lumpenus lampretaeformis,snake blenny,demersal benthivore,medium demersal,demersal,
Lycodes spp,eelpouts,demersal benthivore,medium demersal,demersal,**
Maja squinado,spinous spider crab,crustacean,crustacean,shellfish,**
Melanogrammus aeglefinus,haddock,demersal piscivore,large demersal,demersal,
Merlangius merlangus,whiting,demersal piscivore,medium benthopelagic,demersal,
Merluccius merluccius,hake,demersal piscivore,medium demersal,demersal,
Micromesistius poutassou,blue whiting,pelagic planktivore,medium bathypelagic,pelagic,
Microstomus kitt,lemon sole,demersal benthivore,medium demersal,demersal,
Molva dypterygia,blue ling,demersal piscivore,medium demersal,demersal,
Molva molva,ling,demersal piscivore,large dermersal,demersal,
Mugilidae,mullets,benthopelagic benthivore,large benthopelagic,pelagic,**
Mullus surmuletus,surmullet,demersal benthivore,medium demersal,demersal,**
Mustelus mustelus,smooth hound,demersal piscivore,large sharks,demersal,
Mustelus spp,smooth-hounds,demersal benthivore,large sharks,demersal,**
Myoxocephalus scorpius,bull-rout,demersal benthivore,medium demersal,demersal,
Necora puber,velvet crab,crustacean,crustacean,shellfish,**
Nephrops norvegicus,norwegian lobster,crustacean,crustacean,shellfish,**
Octopodidae,octopusses,cephalopods,cephalopods,cephalopods,**
Octopus vulgaris,common octopus,cephalopods,cephalopods,cephalopods,**
Ommastrephidae,flying squid,cephalopods,cephalopods,cephalopods,
Osteichthyes,bony fish,,,,**
Other,,,,,
Pagellus acarne,axillary seabream,benthopelagic benthivore,small benthopelagic,pelagic,**
Pagellus bogaraveo,blackspot seabream,benthopelagic benthivore,medium benthopelagic,pelagic,**
Pagellus erythrinus,common pandora,benthopelagic benthivore,medium benthopelagic,pelagic,**
Pagrus pagrus,red porgy,benthopelagic benthivore,large benthopelagic,pelagic,**
Pandalus borealis,northern prawn,crustacean,shrimp,shellfish,**
Pecten maximus,great atlantic scallop,bivalve,bivalve,shellfish,
Perca fluviatilis,european perch,pelagic piscivore,medium pelagic,pelagic,**
Perciformes,perch-like fish,,,,**
Pholis gunnellus,butterfish,demersal benthivore,small demersal,demersal,
